'duration','protocol_type','service','flag','src_bytes','dst_bytes','land','wrong_fragment','urgent','hot','num_failed_logins','logged_in','num_compromised','root_shell','su_attempted','num_root','num_file_creations','num_shells','num_access_files','num_outbound_cmds','is_host_login','is_guest_login','count','srv_count','serror_rate','srv_serror_rate','rerror_rate','srv_rerror_rate','same_srv_rate','diff_srv_rate','srv_diff_host_rate','dst_host_count','dst_host_srv_count','dst_host_same_srv_rate','dst_host_diff_srv_rate','dst_host_same_src_port_rate','dst_host_srv_diff_host_rate','dst_host_serror_rate','dst_host_srv_serror_rate','dst_host_rerror_rate','dst_host_srv_rerror_rate','class'
0,0,1,24,9,193,1745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,15,255,1,0,0.07,0.07,0,0,0,0
1,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,8,1,1,0,0,0.05,0.07,0,255,8,0.03,0.07,0,0,1,1,0,0
1,0,1,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,16,1,1,0,0,0.08,0.08,0,255,16,0.06,0.09,0,0,1,1,0,0
0,18022,1,60,9,4734,54623,0,0,0,44,0,1,0,0,0,0,25,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,19,0.07,0.57,0,0,0.57,0.16,0,0.05
1,0,1,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,17,1,1,0,0,0.14,0.07,0,255,9,0.04,0.08,0,0,1,1,0,0
1,0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,1,2,129,1,0,1,0.5,0,0,0,0
1,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,8,1,1,0,0,0.07,0.07,0,255,7,0.03,0.06,0,0,1,1,0,0
1,0,1,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,11,1,1,0,0,0.04,0.06,0,255,11,0.04,0.07,0,0,1,1,0,0
0,0,0,14,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,28,131,1,0,1,0.4,0,0,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,20,1,1,0,0,0.16,0.06,0,255,10,0.04,0.07,0,0,1,1,0,0
0,2,1,54,9,1160,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,175,133,0.76,0.02,0.01,0,0,0,0,0
0,0,1,24,9,243,308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0
1,0,1,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,17,1,1,0,0,0.13,0.07,0,255,1,0,0.09,0,0,1,1,0,0
0,0,1,24,9,296,6843,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
0,0,1,24,9,350,3413,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,1,0,0.43,39,255,1,0,0.03,0.02,0,0,0,0
0,0,1,24,9,198,3978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0
1,0,1,69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,23,1,1,0,0,0.19,0.06,0,255,2,0.01,0.06,0,0,1,1,0,0
0,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0.78,0.78,1,0,0,171,182,1,0,0.01,0.03,0.01,0.01,0.3,0.34
1,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,11,0,0,1,1,0.06,0.07,0,255,11,0.04,0.07,0,0,0,0,1,1
0,0,2,12,9,44,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,165,0,0,0,0,1,0,0.01,255,247,0.97,0.01,0,0,0,0,0,0
0,0,1,24,9,272,321,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,1,0,0.33,255,255,1,0,0,0,0,0,0,0
0,0,2,43,9,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,82,27,0.33,0.04,0.33,0,0,0,0,0
0,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,0.67,9,255,1,0,0.11,0.07,0,0,1,0.8
1,0,1,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,24,1,1,0,0,0.08,0.05,0,255,24,0.09,0.05,0,0,1,1,0,0
0,0,1,24,9,251,580,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,12,255,1,0,0.08,0.01,0,0,0,0
0,0,2,12,9,43,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,152,0,0,0,0,1,0,0.01,255,255,1,0,0,0,0,0,0,0
0,0,1,24,9,300,1257,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
1,0,1,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,18,0,0,1,1,0.15,0.07,0,255,18,0.07,0.06,0,0,0,0,1,1
0,0,1,24,9,305,2698,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,18,0,0.06,0,0,1,0,0.17,255,248,0.97,0.01,0,0,0,0,0,0
1,0,1,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,12,1,1,0,0,0.05,0.06,0,255,12,0.05,0.07,0,0,1,1,0,0
1,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,19,0,0,1,1,0.14,0.07,0,158,19,0.12,0.07,0.01,0,0,0,1,1
0,0,1,18,9,6,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,1,0,166,8,0.05,0.03,0.01,0,0,0,0,0
0,0,1,24,9,251,1408,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
1,0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,1,0,1,4,12,1,0,1,0.25,0,0,0,0
1,0,1,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,9,1,1,0,0,0.04,0.06,0,255,9,0.04,0.06,0,0,1,1,0,0
0,0,1,24,9,263,1179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,41,255,1,0,0.02,0.05,0,0,0,0
0,0,1,24,9,224,4091,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,1,0,0.18,41,255,1,0,0.02,0.04,0,0,0,0.01
1,0,1,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.65,0.64,0,0,0,0.65,1
0,0,1,20,9,61298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,19,15,0.79,0.16,0.79,0,0,0,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,12,1,1,0,0,0.05,0.06,0,255,20,0.08,0.06,0,0,1,1,0,0
0,0,2,12,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,255,33,0.13,0.08,0.13,0,0.01,0,0,0
0,0,2,12,9,45,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,151,0,0,0,0,0.99,0.03,0.01,255,237,0.93,0.01,0,0,0,0,0,0
0,0,2,12,9,44,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,284,0,0,0,0,1,0.01,0,250,215,0.86,0.01,0,0,0,0,0,0
0,0,1,24,9,225,370,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,26,0,0,0,0,1,0,0.12,255,255,1,0,0,0,0,0,0,0
0,0,1,24,9,172,22351,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,94,255,1,0,0.01,0.02,0,0,0,0
0,0,1,24,9,171,6172,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,29,255,1,0,0.03,0.04,0,0,0,0
1,0,1,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,19,1,1,0,0,0.07,0.05,0,255,19,0.07,0.05,0,0,1,1,0,0
0,0,1,24,9,211,305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
0,1,1,20,9,501760,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,32,108,0.56,0.12,0.56,0.02,0,0,0.03,0
0,0,1,20,8,40495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0.09,0.09,0,0,1,0,0,124,71,0.35,0.02,0.35,0.03,0.02,0.03,0,0
0,0,1,24,9,322,7314,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,1,0,0,16,255,1,0,0.06,0.04,0,0,0,0
0,0,1,24,9,227,1232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,25,0,0,0,0,1,0,0.16,103,255,1,0,0.01,0.02,0.01,0,0,0
0,0,1,24,9,219,1468,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,0,39,255,1,0,0.03,0.07,0,0,0,0
1,0,1,49,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,232,1,0,0.96,0.97,0,0.97,1,0,0
1,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,3,0,0,1,1,0.02,0.06,0,255,3,0.01,0.06,0,0,0,0,1,1
1,0,1,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,10,1,1,0,0,0.07,0.06,0,255,10,0.04,0.06,0,0,1,1,0,0
1,0,1,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,18,1,1,0,0,0.16,0.06,0,255,18,0.07,0.07,0,0,1,1,0,0
0,0,1,24,9,293,174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,1,0,0.14,215,255,1,0,0,0.02,0,0,0.01,0.01
1,0,1,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,9,1,1,0,0,0.07,0.06,0,255,9,0.04,0.08,0,0,1,1,0,0
0,0,1,24,9,258,12876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,1,0,0.27,24,68,1,0,0.04,0.1,0,0,0,0
0,0,2,12,9,44,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,237,0,0,0,0,1,0.01,0,255,254,1,0.01,0.01,0,0,0,0,0
1,0,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,16,0,0,1,1,0.11,0.06,0,255,16,0.06,0.07,0,0,0,0,1,1
0,0,2,12,9,43,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0
0,0,1,20,9,567,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,104,45,0.16,0.06,0.16,0.04,0,0,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,21,1,1,0,0,0.09,0.05,0,255,21,0.08,0.06,0,0,1,1,0,0
1,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,10,0,0,1,1,0.04,0.06,0,255,10,0.04,0.08,0,0,0,0,1,1
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,19,1,1,0,0,0.13,0.06,0,255,14,0.05,0.07,0,0,1,1,0,0
0,0,1,20,9,383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,98,0.38,0.02,0.38,0,0,0,0,0
1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,7,0,0,1,1,0.06,0.06,0,255,7,0.03,0.06,0,0,0,0,1,1
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,3,1,1,0,0,0.03,0.07,0,255,3,0.01,0.08,0,0,1,1,0,0
0,0,1,24,9,311,5202,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
1,0,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,1,1,0,0,0.37,0.08,0,255,69,0.27,0.02,0.01,0,1,1,0,0
0,0,1,24,9,265,411,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,13,255,1,0,0.08,0.02,0,0,0,0
0,0,1,24,9,258,3419,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,67,255,1,0,0.01,0.02,0,0,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,13,1,1,0,0,0.06,0.06,0,255,20,0.08,0.09,0,0,1,1,0,0
0,0,1,24,9,222,480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,1,0,0.33,214,255,1,0,0,0.02,0,0,0,0
0,0,1,54,9,1523,322,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,124,120,0.52,0.06,0.01,0.02,0,0,0,0
0,0,1,24,9,245,3696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,45,255,1,0,0.02,0.02,0,0,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,14,1,1,0,0,0.06,0.06,0,255,14,0.05,0.06,0,0,1,1,0,0
0,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,4,255,1,0,0.25,0.17,0,0,1,0.85
0,0,1,24,9,205,181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,8,172,1,0,0.12,0.01,0,0,0,0
1,0,1,60,2,126,179,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,0,35,35,1,0,0.03,0,0.06,0.06,0.94,0.94
1,0,0,15,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,1,0,0,255,168,0.66,0.16,0.66,0,0,0,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,14,1,1,0,0,0.22,0.06,0,255,15,0.06,0.06,0,0,1,1,0,0
1,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,9,1,0.11,1,0.11,0,0,0,0.78,1
1,0,1,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.64,1,0,0,0,1,1
0,0,1,24,9,229,666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,46,255,1,0,0.02,0.02,0,0,0,0
1,9335,1,44,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,0,255,2,0.01,0.74,1,0,0,0,1,1
0,0,1,24,9,312,9284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0
1,3,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,1,0.04,0,0.94,1,0,1,0,255,1,0,0.93,0,0,0.04,0,0.86,1
0,0,1,20,9,1470,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,0.4,255,91,0.36,0.02,0.36,0,0,0,0.03,0
0,0,1,24,9,170,3687,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,37,255,1,0,0.03,0.03,0,0,0,0
1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,5,1,1,0,0,0.02,0.06,0,255,5,0.02,0.06,0,0,1,1,0,0
0,0,1,24,9,324,3198,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,1,0,0.08,114,255,1,0,0.01,0.02,0,0,0,0
1,0,1,69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,19,1,1,0,0,0.07,0.05,0,255,19,0.07,0.05,0,0,1,1,0,0
0,0,1,24,9,284,9046,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,111,255,1,0,0.01,0.05,0,0,0,0
0,0,1,54,9,1619,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,183,244,0.97,0.01,0.01,0.01,0,0,0,0
0,0,1,54,9,828,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,135,155,0.61,0.03,0.01,0.01,0,0,0,0
1,19,1,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1
1,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,3,0,0,1,1,0.01,0.07,0,255,3,0.01,0.07,0,0,0,0,1,1
1,0,0,15,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,1,0,0,255,183,0.72,0.02,0.72,0,0,0,0,0
1,0,1,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,11,1,1,0,0,0.04,0.06,0,255,11,0.04,0.08,0,0,1,1,0,0
1,0,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,6,1,1,0,0,0.03,0.06,0,255,6,0.02,0.07,0,0,1,1,0,0
0,0,2,12,9,44,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,0,0,0,0,1,0,0.07,77,212,0.81,0.03,0.81,0.01,0,0,0.13,0
0,0,1,54,9,693,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,1,0,187,134,0.72,0.04,0.01,0,0.01,0.01,0,0
1,0,2,44,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0.12,0.47,0,255,2,0.01,0.18,1,0,0,0,0,0
1,0,1,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,11,0,0,1,1,0.13,0.07,0,255,11,0.04,0.07,0,0,0,0,1,1
0,0,1,24,9,208,759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,0,1,0,0.15,42,255,1,0,0.02,0.02,0,0,0,0
0,0,1,24,7,203,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0.67,0,0,1,0,0.67,86,255,1,0,0.01,0.04,0.01,0,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,5,1,1,0,0,0.03,0.06,0,255,19,0.07,0.07,0,0,1,1,0,0
1,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,6,1,1,0,0,0.03,0.07,0,255,6,0.02,0.07,0,0,1,1,0,0
0,0,2,12,9,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,1,0,0.29,18,17,0.94,0.11,0.06,0,0,0,0,0
0,0,2,12,9,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,1,0,0.17,255,243,0.95,0.01,0,0,0,0,0,0
1,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,1,1,0.01,0.07,0,255,1,0,0.07,0,0,0,0,1,1
1,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,17,1,1,0,0,0.14,0.06,0,255,17,0.07,0.07,0,0,1,1,0,0
1,0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,1,0,1,4,104,1,0,1,0.25,0,0,0,0
0,0,1,20,9,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,80,42,0.25,0.05,0.25,0.05,0,0,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,12,1,1,0,0,0.05,0.06,0,255,5,0.02,0.09,0,0,1,1,0,0
0,0,1,24,9,249,16393,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0.67,14,255,1,0,0.07,0.07,0,0,0,0
1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,1,1,0,0,0.3,0.18,0,255,16,0.06,0.09,0,0,1,1,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,10,1,1,0,0,0.04,0.06,0,255,10,0.04,0.08,0,0,1,1,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,9,1,1,0,0,0.04,0.06,0,255,9,0.04,0.08,0,0,1,1,0,0
0,0,1,24,9,290,2042,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,1,0,0,34,255,1,0,0.03,0.04,0,0,0,0
0,0,1,20,9,641,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,214,81,0.38,0.03,0.38,0,0,0,0,0
1,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,16,0,0,1,1,0.13,0.07,0,50,16,0.32,0.12,0.02,0,0,0,1,1
1,0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,1,2,46,1,0,1,0.5,0,0,0,0
0,6,1,60,9,102,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,24,1,0.04,0.21,0.04,0,0,0,0,0
0,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,29,255,1,0,0.03,0.07,0,0,1,0.97
0,0,1,24,9,226,4146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,68,255,1,0,0.01,0.02,0,0,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,17,0.62,1,0,0,0.09,0.04,0,255,4,0.02,0.06,0,0,1,1,0,0
1,0,1,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,17,1,1,0,0,0.08,0.07,0,255,17,0.07,0.08,0,0,1,1,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,7,1,1,0,0,0.03,0.06,0,255,14,0.05,0.07,0,0,1,1,0,0
1,0,1,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,1,1,1,0,0,0,0.07,0,255,1,0,0.07,0,0,1,1,0,0
1,0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,4,1,1,0,0,0.04,0.06,0,255,8,0.03,0.07,0,0,1,1,0,0
1,0,1,60,2,126,179,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,31,31,1,0,0.03,0,0.06,0.06,0.94,0.94
0,0,1,54,9,1441,473,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,231,29,0.13,0.02,0,0,0,0,0.82,0
